Num_Aspects,RoomQuality,Noise,Wifi,Utilities,Parking,Security,Environment,Landlord,Location,Price,Persona,Review_Text
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Dân văn phòng bận rộn,"Tôi vừa mới đi uống một ly cà phê và thấy thời tiết hôm nay khá là đẹp. Dù bận rộn với công việc, tôi vẫn cảm thấy may mắn khi có một ngày mới để bắt đầu lại. Công việc văn phòng có thể khá căng thẳng, nhưng đôi khi những khoảnh khắc nhỏ như uống cà phê cũng giúp tôi cảm thấy thư giãn hơn. Hy vọng ngày mới sẽ mang lại nhiều điều tích cực cho tất cả mọi người."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Người viết sai chính tả (nhẹ),"Mình thấy hôm nay trời đẹp quá, thích đi dạo quanh phố lắm. Dù gì thì cũng mong là mọi thứ sẽ ổn trong cuộc sống hàng ngày của mình."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Người dễ dãi, xuề xòa","Tôi vừa đi xem một bộ phim hay vào cuối tuần rồi, cảm giác thật tuyệt vời. Thời tiết gần đây cũng khá dễ chịu, không quá nóng cũng không quá lạnh. Tôi nghĩ mình may mắn khi có thể tận hưởng những điều đơn giản trong cuộc sống. Và tôi cũng hy vọng mọi người cũng có thể tìm thấy niềm vui trong những điều nhỏ nhặt như vậy."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Sinh viên Gen Z,"Mình không có gì để nói về phòng trọ này vì mọi thứ đều khá bình thường và không có điểm nào nổi bật. Mình không muốn nói quá nhiều về những thứ không quan trọng, nên mình sẽ giữ im lặng về chủ đề này. Thật ra, mình cũng không có hứng thú với việc đánh giá phòng trọ, vì nó không phải là một phần quan trọng trong cuộc sống hàng ngày của mình. Mình chỉ muốn tận hưởng cuộc sống và không để ý đến những chi tiết nhỏ nhặt."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Sinh viên Gen Z,"Tôi vừa xem xong một bộ phim siêu hay và cảm thấy thật sảng khoái! Không có gì bằng cảm giác được tận hưởng những giây phút thư giãn sau một ngày học tập và làm việc căng thẳng. Tôi chợt nghĩ về việc mình may mắn có một cuộc sống trẻ trung và đầy màu sắc, với những người bạn tuyệt vời và những trải nghiệm mới mẻ mỗi ngày. Đỉnh chóp của sự hạnh phúc là khi tôi được làm những điều mình yêu thích, như chơi game, nghe nhạc hoặc đơn giản là nằm trên giường và xem phim. Cuộc sống thật là một món quà quý giá, và tôi sẽ không bao giờ bỏ lỡ cơ hội để tận hưởng từng khoảnh khắc của nó. Tôi khum núm vì hạnh phúc và sẵn sàng đối mặt với những thách thức mới!"
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Dân văn phòng bận rộn,"Tôi thật sự cảm thấy bối rối và thất vọng khi không có gì để nói về nơi mình đang sống. Mọi thứ dường như bị che giấu và tôi không thể chia sẻ bất kỳ suy nghĩ nào của mình. Tôi chỉ mong muốn có một không gian yên tĩnh và thoải mái sau giờ làm việc, nhưng dường như điều đó là không thể. Tôi cảm thấy thật tuyệt vọng khi không có gì để nói, và điều này khiến tôi cảm thấy thật sự thất vọng!"
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Người review dạo tấu hài,"Tôi không có gì để nói về phòng trọ này, có lẽ nó chỉ là một nơi để tồn tại, không có gì nổi bật hay đáng chú ý. Tôi sẽ dành thời gian của mình để tìm kiếm một nơi khác có thể mang lại cho tôi những trải nghiệm thú vị hơn."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Người viết sai chính tả (nhẹ),"Mình ko có gì để nói về phòng trọ này, có lẽ vì mình ko quan tâm lắm. Mình thấy mọi thứ đều bình thường, ko có gì đặc biệt. Mình chỉ cần một nơi để ở và làm việc, còn lại thì mình ko để ý lắm. Mình hy vọng những người khác sẽ có cái nhìn khách quan hơn về nơi này."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Người review dạo tấu hài,"Tôi không có gì để nói về nơi này, nó như một bí ẩn không thể giải mã, và tôi nghĩ tôi sẽ đi tìm nơi khác để thuê trọ, vì ở đây không có gì đáng để tôi phải nói cả!"
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Người review dạo tấu hài,"Tôi vừa xem một bộ phim hài cực kỳ hay và tôi không thể ngừng cười. Bộ phim có một cái kết cực kỳ bất ngờ và khiến tôi cảm thấy rất phấn khích. Tôi nghĩ rằng cuộc sống cũng nên như vậy, luôn có những điều bất ngờ và thú vị chờ đợi chúng ta ở phía trước. Tôi hy vọng rằng mọi người sẽ tìm thấy những điều thú vị và hài hước trong cuộc sống của mình, giống như tôi đã tìm thấy trong bộ phim đó!"
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Người có gia đình / Vợ chồng trẻ,"Tôi không có gì đặc biệt để nói về nơi này, đơn giản là vì tôi không có thông tin cụ thể về nó. Tôi thường quan tâm đến việc tìm một nơi ở phù hợp cho gia đình nhỏ của mình, nhưng trong trường hợp này, tôi không có đủ thông tin để đưa ra một đánh giá chính xác. Tôi hy vọng trong tương lai, sẽ có thêm thông tin để giúp tôi và những người khác có thể đưa ra quyết định sáng suốt hơn. Hiện tại, tôi chỉ có thể chờ đợi và quan sát."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Dân văn phòng bận rộn,"Tôi không có gì đặc biệt để nói về phòng trọ này, mọi thứ đều bình thường và không có gì nổi bật."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Người kỹ tính (khó ở),"Tôi không có gì để nói về phòng trọ này, vì vậy tôi sẽ nói về thời tiết gần đây. Thời tiết đã khá thất thường, có lúc nắng nóng gay gắt, có lúc lại mưa lớn. Điều này làm cho tôi cảm thấy khó chịu và không biết phải chuẩn bị gì cho ngày hôm sau. Tôi hy vọng rằng thời tiết sẽ ổn định hơn trong tương lai. Ngoài ra, tôi cũng muốn nói về việc giữ gìn môi trường sống. Chúng ta nên cố gắng giảm thiểu rác thải và bảo vệ thiên nhiên. Điều này không chỉ tốt cho môi trường, mà còn tốt cho sức khỏe của chúng ta. Tôi hy vọng rằng mọi người sẽ cùng nhau cố gắng để tạo ra một môi trường sống tốt đẹp hơn."
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Sinh viên Gen Z,"Tôi không có gì đặc biệt để nói về phòng trọ này, tôi chỉ cần tìm một nơi ở tạm ổn thôi."
