Num_Aspects,RoomQuality,Noise,Wifi,Utilities,Parking,Security,Environment,Landlord,Location,Price
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
